x,y,z,object_type,width,length
20.8500,1.0000,34.0000,wall,3.0000,2.0000
0.2500,1.2200,34.0000,goal,7.3200,2.4400
29.6303,0.1455,33.9618,ball,1,1
29.2566,0.2721,33.9225,ball,1,1
28.8812,0.3836,33.8824,ball,1,1
28.5054,0.4830,33.8420,ball,1,1
28.1301,0.5727,33.8014,ball,1,1
27.7558,0.6545,33.7607,ball,1,1
27.3831,0.7300,33.7201,ball,1,1
27.0121,0.8002,33.6796,ball,1,1
26.6431,0.8659,33.6392,ball,1,1
26.2760,0.9280,33.5990,ball,1,1
25.9112,0.9869,33.5590,ball,1,1
25.5484,1.0430,33.5192,ball,1,1
25.1879,1.0966,33.4797,ball,1,1
24.8295,1.1481,33.4404,ball,1,1
24.4734,1.1975,33.4013,ball,1,1
24.1194,1.2452,33.3624,ball,1,1
23.7676,1.2911,33.3237,ball,1,1
23.4180,1.3355,33.2853,ball,1,1
23.0705,1.3783,33.2472,ball,1,1
22.7251,1.4197,33.2092,ball,1,1
22.3819,1.4597,33.1715,ball,1,1
22.0407,1.4983,33.1340,ball,1,1
21.7016,1.5357,33.0967,ball,1,1
21.3645,1.5717,33.0597,ball,1,1
21.0295,1.6066,33.0229,ball,1,1
20.6964,1.6401,32.9863,ball,1,1
20.3653,1.6725,32.9499,ball,1,1
20.0361,1.7037,32.9137,ball,1,1
19.7089,1.7337,32.8778,ball,1,1
19.3835,1.7625,32.8420,ball,1,1
19.0601,1.7902,32.8065,ball,1,1
18.7385,1.8168,32.7711,ball,1,1
18.4187,1.8422,32.7360,ball,1,1
18.1007,1.8665,32.7010,ball,1,1
17.7846,1.8897,32.6663,ball,1,1
17.4702,1.9117,32.6317,ball,1,1
17.1575,1.9327,32.5974,ball,1,1
16.8466,1.9526,32.5632,ball,1,1
16.5374,1.9714,32.5292,ball,1,1
16.2299,1.9892,32.4954,ball,1,1
15.9241,2.0059,32.4618,ball,1,1
15.6199,2.0215,32.4284,ball,1,1
15.3174,2.0361,32.3951,ball,1,1
15.0164,2.0496,32.3621,ball,1,1
14.7171,2.0621,32.3292,ball,1,1
14.4194,2.0736,32.2965,ball,1,1
14.1232,2.0840,32.2639,ball,1,1
13.8286,2.0934,32.2315,ball,1,1
13.5356,2.1018,32.1993,ball,1,1
13.2440,2.1092,32.1673,ball,1,1
12.9539,2.1156,32.1354,ball,1,1
12.6654,2.1210,32.1037,ball,1,1
12.3783,2.1254,32.0721,ball,1,1
12.0927,2.1288,32.0408,ball,1,1
11.8085,2.1312,32.0095,ball,1,1
11.5257,2.1326,31.9784,ball,1,1
11.2444,2.1331,31.9475,ball,1,1
10.9644,2.1326,31.9168,ball,1,1
10.6859,2.1311,31.8861,ball,1,1
10.4087,2.1287,31.8557,ball,1,1
10.1328,2.1253,31.8254,ball,1,1
9.8578,2.1210,31.7951,ball,1,1
9.5836,2.1157,31.7650,ball,1,1
9.3102,2.1095,31.7350,ball,1,1
9.0376,2.1023,31.7050,ball,1,1
8.7658,2.0942,31.6751,ball,1,1
8.4948,2.0851,31.6454,ball,1,1
8.2246,2.0751,31.6157,ball,1,1
7.9551,2.0642,31.5860,ball,1,1
7.6865,2.0523,31.5565,ball,1,1
7.4186,2.0395,31.5271,ball,1,1
7.1515,2.0257,31.4977,ball,1,1
6.8851,2.0111,31.4684,ball,1,1
6.6195,1.9955,31.4393,ball,1,1
6.3547,1.9790,31.4102,ball,1,1
6.0906,1.9615,31.3811,ball,1,1
5.8273,1.9432,31.3522,ball,1,1
5.5647,1.9239,31.3233,ball,1,1
5.3029,1.9038,31.2946,ball,1,1
5.0418,1.8827,31.2659,ball,1,1
4.7814,1.8607,31.2372,ball,1,1
4.5217,1.8378,31.2087,ball,1,1
4.2628,1.8140,31.1803,ball,1,1
4.0046,1.7893,31.1519,ball,1,1
3.7471,1.7637,31.1236,ball,1,1
3.4904,1.7373,31.0954,ball,1,1
3.2343,1.7099,31.0672,ball,1,1
2.9790,1.6816,31.0392,ball,1,1
2.7243,1.6525,31.0112,ball,1,1
2.4704,1.6224,30.9833,ball,1,1
2.2171,1.5915,30.9554,ball,1,1
1.9646,1.5597,30.9277,ball,1,1
1.7127,1.5270,30.9000,ball,1,1
1.4615,1.4935,30.8724,ball,1,1
1.2110,1.4590,30.8449,ball,1,1
0.9612,1.4237,30.8174,ball,1,1
0.7120,1.3876,30.7900,ball,1,1
0.4636,1.3505,30.7627,ball,1,1
