x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,49.0000,ball,1,1,0,0,0
29.8436,0.1012,48.7668,ball,1,1,0,0,0
29.6861,0.2011,48.5357,ball,1,1,0,0,0
29.5276,0.2996,48.3066,ball,1,1,0,0,0
29.3681,0.3967,48.0795,ball,1,1,0,0,0
29.2075,0.4925,47.8545,ball,1,1,0,0,0
29.0460,0.5870,47.6315,ball,1,1,0,0,0
28.8835,0.6801,47.4105,ball,1,1,0,0,0
28.7201,0.7719,47.1916,ball,1,1,0,0,0
28.5558,0.8624,46.9746,ball,1,1,0,0,0
28.3905,0.9516,46.7596,ball,1,1,0,0,0
28.2244,1.0395,46.5466,ball,1,1,0,0,0
28.0574,1.1261,46.3355,ball,1,1,0,0,0
27.8896,1.2113,46.1265,ball,1,1,0,0,0
27.7209,1.2953,45.9193,ball,1,1,0,0,0
27.5514,1.3781,45.7142,ball,1,1,0,0,0
27.3811,1.4595,45.5109,ball,1,1,0,0,0
27.2101,1.5397,45.3096,ball,1,1,0,0,0
27.0383,1.6186,45.1102,ball,1,1,0,0,0
26.8657,1.6963,44.9127,ball,1,1,0,0,0
26.6924,1.7727,44.7172,ball,1,1,0,0,0
26.5184,1.8479,44.5235,ball,1,1,0,0,0
26.3438,1.9218,44.3317,ball,1,1,0,0,0
26.1684,1.9945,44.1418,ball,1,1,0,0,0
25.9924,2.0660,43.9537,ball,1,1,0,0,0
25.8157,2.1363,43.7675,ball,1,1,0,0,0
25.6384,2.2053,43.5832,ball,1,1,0,0,0
25.4605,2.2731,43.4007,ball,1,1,0,0,0
25.2820,2.3398,43.2200,ball,1,1,0,0,0
25.1029,2.4052,43.0412,ball,1,1,0,0,0
24.9232,2.4694,42.8642,ball,1,1,0,0,0
24.7429,2.5325,42.6890,ball,1,1,0,0,0
24.5622,2.5944,42.5156,ball,1,1,0,0,0
24.3809,2.6551,42.3440,ball,1,1,0,0,0
24.1991,2.7146,42.1741,ball,1,1,0,0,0
24.0167,2.7729,42.0061,ball,1,1,0,0,0
23.8339,2.8301,41.8398,ball,1,1,0,0,0
23.6507,2.8861,41.6753,ball,1,1,0,0,0
23.4669,2.9410,41.5125,ball,1,1,0,0,0
23.2828,2.9947,41.3515,ball,1,1,0,0,0
23.0981,3.0473,41.1922,ball,1,1,0,0,0
22.9131,3.0987,41.0347,ball,1,1,0,0,0
22.7277,3.1490,40.8788,ball,1,1,0,0,0
22.5418,3.1982,40.7247,ball,1,1,0,0,0
22.3556,3.2463,40.5723,ball,1,1,0,0,0
22.1690,3.2932,40.4216,ball,1,1,0,0,0
21.9820,3.3390,40.2725,ball,1,1,0,0,0
21.7947,3.3837,40.1252,ball,1,1,0,0,0
21.6071,3.4272,39.9795,ball,1,1,0,0,0
21.4191,3.4697,39.8354,ball,1,1,0,0,0
21.2309,3.5111,39.6931,ball,1,1,0,0,0
21.0423,3.5514,39.5524,ball,1,1,0,0,0
20.8534,3.5905,39.4133,ball,1,1,0,0,0
20.6643,3.6286,39.2758,ball,1,1,0,0,0
20.4748,3.6656,39.1400,ball,1,1,0,0,0
20.2852,3.7016,39.0058,ball,1,1,0,0,0
20.0952,3.7364,38.8732,ball,1,1,0,0,0
19.9051,3.7702,38.7422,ball,1,1,0,0,0
19.7147,3.8029,38.6128,ball,1,1,0,0,0
19.5241,3.8345,38.4850,ball,1,1,0,0,0
19.3333,3.8651,38.3588,ball,1,1,0,0,0
19.1423,3.8946,38.2341,ball,1,1,0,0,0
18.9511,3.9230,38.1110,ball,1,1,0,0,0
18.7597,3.9504,37.9895,ball,1,1,0,0,0
18.5682,3.9768,37.8695,ball,1,1,0,0,0
18.3765,4.0021,37.7510,ball,1,1,0,0,0
18.1846,4.0264,37.6341,ball,1,1,0,0,0
17.9926,4.0496,37.5187,ball,1,1,0,0,0
17.8005,4.0718,37.4049,ball,1,1,0,0,0
17.6083,4.0929,37.2925,ball,1,1,0,0,0
17.4159,4.1131,37.1817,ball,1,1,0,0,0
17.2235,4.1322,37.0723,ball,1,1,0,0,0
17.0309,4.1502,36.9645,ball,1,1,0,0,0
16.8383,4.1673,36.8581,ball,1,1,0,0,0
16.6456,4.1834,36.7532,ball,1,1,0,0,0
16.4528,4.1984,36.6498,ball,1,1,0,0,0
16.2599,4.2124,36.5479,ball,1,1,0,0,0
16.0670,4.2254,36.4474,ball,1,1,0,0,0
15.8741,4.2374,36.3483,ball,1,1,0,0,0
15.6811,4.2485,36.2508,ball,1,1,0,0,0
15.4881,4.2585,36.1546,ball,1,1,0,0,0
15.2951,4.2675,36.0599,ball,1,1,0,0,0
15.1020,4.2755,35.9666,ball,1,1,0,0,0
14.9090,4.2826,35.8747,ball,1,1,0,0,0
14.7160,4.2886,35.7842,ball,1,1,0,0,0
14.5229,4.2937,35.6951,ball,1,1,0,0,0
14.3299,4.2978,35.6075,ball,1,1,0,0,0
14.1369,4.3009,35.5212,ball,1,1,0,0,0
13.9440,4.3031,35.4363,ball,1,1,0,0,0
13.7510,4.3042,35.3528,ball,1,1,0,0,0
13.5582,4.3044,35.2707,ball,1,1,0,0,0
13.3654,4.3037,35.1899,ball,1,1,0,0,0
13.1726,4.3019,35.1105,ball,1,1,0,0,0
12.9799,4.2992,35.0324,ball,1,1,0,0,0
12.7873,4.2956,34.9557,ball,1,1,0,0,0
12.5948,4.2910,34.8804,ball,1,1,0,0,0
12.4023,4.2854,34.8063,ball,1,1,0,0,0
12.2100,4.2789,34.7336,ball,1,1,0,0,0
12.0177,4.2715,34.6623,ball,1,1,0,0,0
11.8256,4.2631,34.5922,ball,1,1,0,0,0
11.6336,4.2537,34.5235,ball,1,1,0,0,0
11.4416,4.2435,34.4561,ball,1,1,0,0,0
11.2499,4.2322,34.3900,ball,1,1,0,0,0
11.0582,4.2201,34.3251,ball,1,1,0,0,0
10.8667,4.2070,34.2616,ball,1,1,0,0,0
10.6754,4.1930,34.1993,ball,1,1,0,0,0
10.4841,4.1780,34.1384,ball,1,1,0,0,0
10.2931,4.1621,34.0787,ball,1,1,0,0,0
10.1022,4.1454,34.0203,ball,1,1,0,0,0
9.9115,4.1276,33.9631,ball,1,1,0,0,0
9.7210,4.1090,33.9072,ball,1,1,0,0,0
9.5306,4.0894,33.8525,ball,1,1,0,0,0
